NPC-900,
X,Y
0.9925 , 425.4186
0.9774 , 409.4368
0.9524 , 404.1096
0.9286 , 401.8265
0.9036 , 398.7823
0.8787 , 396.4992
0.8516 , 394.9772
0.8277 , 394.2161
0.8028 , 394.2161
0.7800 , 392.6941
0.7540 , 391.1720
0.7269 , 390.4110
0.7041 , 390.4110
0.6770 , 389.6499
0.6520 , 388.8889
0.6271 , 387.3668
0.6021 , 387.3668
0.5761 , 386.6058
0.5501 , 386.6058
0.5262 , 385.8447
0.5002 , 385.8447
0.4774 , 384.3227
0.4503 , 382.0396
0.4503 , 382.0396
0.4254 , 381.2785
0.4004 , 380.5175
0.3267 , 377.4734
0.3137 , 375.9513
0.1814 , 359.9696
0.1554 , 353.8813
0.0795 , 324.9619
0.0503 , 306.6971
0.0405 , 299.0868
0.0286 , 287.6712
0.0189 , 275.4947
0.0091 , 258.7519
0.0070 , 252.6636
0.0038 , 238.2040
0.0016 , 224.5053
0.0017 , 213.0898
0.0006 , 200.1522
0.0006 , 187.9756
0.0007 , 171.9939
0.0007 , 156.7732
-0.0004 , 144.5967
-0.0014 , 133.9422
-0.0014 , 124.0487
-0.0003 , 114.1553
-0.0003 , 101.9787
-0.0003 , 90.5632
-0.0002 , 80.6697
-0.0002 , 70.0152
-0.0002 , 55.5556
-0.0012 , 21.3090
-0.0001 , 3.0441
