1h_f5,
X,Y
0.1000 , 680.2003
0.1200 , 693.9871
0.1400 , 706.5612
0.1600 , 718.9085
0.1800 , 728.9177
0.2000 , 736.0511
0.2200 , 742.0047
0.2400 , 747.2600
0.2600 , 751.9101
0.2800 , 756.2273
0.3000 , 759.6850
0.3200 , 762.5374
0.3400 , 765.0569
0.3600 , 767.3288
0.3800 , 769.6405
0.4000 , 771.8101
0.4200 , 773.6063
0.4400 , 775.0857
0.4600 , 776.2957
0.4800 , 777.5914
0.5000 , 778.9544
0.5200 , 780.2837
0.5400 , 781.4567
0.5600 , 782.3249
0.5800 , 783.3129
0.6000 , 784.2651
0.6200 , 784.9518
0.6400 , 785.6031
0.6600 , 786.3069
0.6800 , 786.9909
0.7000 , 787.4983
0.7200 , 787.8823
0.7400 , 788.1939
0.7600 , 788.5361
0.7800 , 789.3969
0.8000 , 790.7219
0.8200 , 792.0100
0.8400 , 793.1172
0.8600 , 793.9119
0.8800 , 794.7751
0.9000 , 795.8583
0.9200 , 797.1520
0.9400 , 798.7521
0.9600 , 800.4409
0.0892 , 668.7342
0.0552 , 622.0253
0.0439 , 603.7975
0.0150 , 525.1899
0.0098 , 501.2658
0.9855 , 803.1646
