0.5h_f5,
X,Y
0.0400 , 537.0080
0.0600 , 565.9035
0.0800 , 590.3494
0.1000 , 607.3471
0.1200 , 619.1296
0.1400 , 627.6178
0.1600 , 632.8665
0.1800 , 637.5383
0.2000 , 643.1926
0.2200 , 647.9318
0.2400 , 651.3642
0.2600 , 654.0938
0.2800 , 656.3731
0.3000 , 658.3451
0.3200 , 660.2305
0.3400 , 661.9360
0.3600 , 663.4216
0.3800 , 664.8077
0.4000 , 666.1189
0.4200 , 667.2762
0.4400 , 668.3531
0.4600 , 669.4976
0.4800 , 670.6973
0.5000 , 671.8645
0.5200 , 672.9091
0.5400 , 673.7678
0.5600 , 674.4495
0.5800 , 674.9888
0.6000 , 675.5643
0.6200 , 676.0533
0.6400 , 676.5903
0.6600 , 677.1070
0.6800 , 677.9129
0.7000 , 678.6563
0.7200 , 679.4305
0.7400 , 680.2930
0.7600 , 681.0397
0.7800 , 681.3442
0.8000 , 681.3311
0.8200 , 681.1347
0.8400 , 681.0468
0.8600 , 681.8292
0.8800 , 682.6618
0.9000 , 682.6813
0.9200 , 683.2740
0.9400 , 685.7925
0.9600 , 692.6241
0.9905 , 701.7722
