850_f3,
X,Y
0.0085 , 423.6850
0.0054 , 177.1110
0.0071 , 328.0166
0.0071 , 261.7469
0.0251 , 473.1032
0.0366 , 501.0004
0.0491 , 531.6569
0.0734 , 566.1842
0.0967 , 595.8675
0.1234 , 619.5017
0.1496 , 641.2918
0.1758 , 656.8187
0.2020 , 671.9872
0.2282 , 683.7547
0.2544 , 692.3796
0.2806 , 701.0852
0.3068 , 706.6240
0.3330 , 713.8594
0.3592 , 717.4190
0.3860 , 721.3180
0.4116 , 724.2554
0.4384 , 729.3736
0.4639 , 731.8259
0.4910 , 734.6400
0.5165 , 737.3438
0.5476 , 740.9111
0.5747 , 742.8720
0.6000 , 745.5722
0.6278 , 747.6275
0.6533 , 750.8457
0.6803 , 752.9522
0.7065 , 755.3657
0.7327 , 757.9073
0.7589 , 759.5631
0.7867 , 764.4007
0.8104 , 765.3487
0.8375 , 770.3134
0.8631 , 773.6751
0.8901 , 780.7204
0.9150 , 785.0163
0.9423 , 790.9834
0.9685 , 805.3818
0.9939 , 827.0059
