2h_f5,
X,Y
0.0111 , 464.6853
0.0290 , 504.5799
0.0367 , 523.0008
0.0490 , 557.3514
0.0735 , 578.9606
0.0981 , 606.0771
0.1242 , 622.9383
0.1504 , 641.8953
0.1770 , 652.2697
0.2027 , 661.1014
0.2289 , 668.6321
0.2551 , 673.5582
0.2831 , 681.6929
0.3049 , 684.3294
0.3333 , 690.9638
0.3588 , 693.4486
0.3859 , 698.5662
0.4120 , 701.0764
0.4382 , 705.7383
0.4586 , 708.3848
0.4921 , 711.7213
0.5171 , 714.3372
0.5450 , 716.4712
0.5710 , 719.0482
0.5967 , 721.0356
0.6229 , 722.4228
0.6491 , 724.8576
0.6754 , 726.3515
0.7014 , 728.8777
0.7276 , 729.9800
0.7537 , 732.0108
0.7798 , 733.2565
0.8060 , 735.3515
0.8321 , 737.4389
0.8583 , 738.6733
0.8845 , 741.7422
0.9106 , 742.4103
0.9368 , 746.2606
0.9629 , 751.5831
0.9891 , 763.6548
