700_f3,
X,Y
0.0128 , 456.1912
0.0497 , 548.3219
0.0856 , 569.4275
0.1117 , 582.6989
0.1365 , 591.3891
0.1681 , 599.7448
0.1943 , 607.1217
0.2192 , 610.6240
0.2478 , 614.9772
0.2724 , 616.8180
0.3003 , 619.6081
0.3265 , 621.3581
0.3527 , 622.9950
0.3767 , 623.9582
0.4042 , 625.1237
0.4313 , 626.0960
0.4575 , 627.4501
0.4833 , 627.6364
0.5034 , 628.2223
0.5509 , 630.8757
0.6016 , 631.4388
0.6508 , 631.6286
0.7016 , 633.0210
0.7515 , 632.9885
0.8015 , 632.9444
0.8522 , 633.7337
0.8785 , 633.7306
0.9047 , 634.7454
0.9283 , 635.5348
0.9530 , 637.1237
0.9939 , 653.8105
