800_f3,
X,Y
0.0500 , 614.7199
0.0988 , 678.8873
0.1504 , 712.1587
0.1870 , 730.2519
0.2118 , 738.2256
0.2397 , 747.4365
0.2659 , 751.9574
0.2921 , 757.7790
0.3171 , 760.2021
0.3445 , 763.9255
0.3716 , 766.2501
0.3992 , 768.7961
0.4231 , 773.1452
0.4510 , 773.2757
0.5001 , 776.3954
0.5500 , 778.1243
0.6016 , 780.0635
0.6516 , 782.7591
0.7007 , 784.1552
0.7409 , 785.5418
0.7960 , 788.1558
0.8514 , 788.3536
0.9014 , 794.2892
0.9522 , 796.9624
0.8115 , 788.9244
0.7621 , 787.8991
0.9949 , 802.1609
0.9835 , 801.0489
0.0124 , 523.3600
0.0072 , 504.0291
