900_f3,
X,Y
0.0089 , 377.9693
0.0056 , 343.1373
0.2020 , 631.2863
0.2315 , 645.2311
0.2563 , 653.0567
0.2856 , 662.2277
0.3117 , 668.1021
0.3379 , 674.8851
0.3612 , 678.6436
0.3937 , 682.9785
0.4084 , 683.0000
0.4501 , 690.0227
0.5009 , 696.4218
0.5517 , 701.3731
0.6025 , 706.3245
0.6438 , 710.6137
0.6590 , 710.6294
0.7024 , 715.5674
0.7507 , 720.3735
0.8023 , 726.1977
0.8506 , 732.9831
0.9014 , 743.2324
0.9505 , 763.9310
0.9939 , 769.9763
0.1596 , 607.2221
0.1452 , 594.7391
0.1071 , 560.6918
0.0917 , 544.7977
0.0618 , 505.0427
0.0443 , 477.7753
0.0144 , 402.7485
