750_f3,
X,Y
0.0400 , 563.1683
0.0800 , 612.3285
0.1000 , 627.2217
0.1200 , 637.0156
0.1400 , 648.9676
0.1600 , 655.8077
0.1800 , 656.4085
0.2400 , 668.9594
0.2600 , 671.5979
0.4200 , 681.6782
0.4800 , 684.9767
0.5000 , 684.4750
0.5200 , 686.6660
0.5400 , 687.0393
0.5600 , 686.8471
0.5800 , 688.3098
0.6000 , 688.0851
0.6200 , 688.2336
0.6400 , 688.3248
0.6600 , 688.1919
0.6800 , 688.9651
0.7000 , 689.6812
0.7200 , 689.9893
0.7400 , 690.1015
0.7600 , 690.0756
0.7800 , 690.1480
0.8000 , 690.1010
0.8200 , 690.2924
0.8400 , 690.5773
0.8600 , 691.0181
0.8800 , 691.3732
0.9000 , 692.1722
0.9200 , 693.1650
0.9400 , 694.0763
0.9600 , 698.3489
0.9800 , 707.2193
0.3986 , 681.7732
0.3605 , 679.5843
0.3399 , 677.3556
0.3120 , 676.2811
0.2884 , 674.0594
0.2132 , 663.9902
0.0505 , 585.8523
0.0597 , 596.0714
0.0124 , 497.1906
0.9949 , 715.6881
0.4614 , 685.0436
0.4398 , 683.9551
