CAC,
X,Y
0.9903 , 1644.4113
0.8475 , 1617.5857
0.8475 , 1617.5857
0.8003 , 1606.8554
0.7077 , 1593.4426
0.6498 , 1582.7124
0.6045 , 1566.6170
0.5534 , 1545.1565
0.5003 , 1512.9657
0.4733 , 1486.1401
0.4473 , 1448.5842
0.4212 , 1402.9806
0.3980 , 1365.4247
0.3700 , 1314.4560
0.3266 , 1217.8838
0.2745 , 1099.8510
0.2484 , 1038.1520
0.2233 , 989.8659
0.1953 , 933.5320
0.1721 , 887.9285
0.1480 , 836.9598
0.1239 , 794.0387
0.0997 , 748.4352
0.0746 , 694.7839
0.0457 , 649.1803
0.0331 , 625.0373
0.0244 , 598.2116
0.0157 , 576.7511
0.0099 , 555.2906
0.0041 , 512.3696
0.0041 , 490.9091
