PAC,
X,Y
0.9935 , 388.9717
0.9530 , 391.6542
0.9047 , 391.6542
0.8527 , 388.9717
0.8083 , 386.2891
0.7562 , 388.9717
0.7032 , 386.2891
0.6521 , 388.9717
0.6019 , 383.6066
0.5508 , 386.2891
0.4775 , 386.2891
0.4245 , 380.9240
0.3782 , 383.6066
0.3271 , 375.5589
0.2731 , 375.5589
0.2490 , 372.8763
0.2258 , 370.1937
0.1969 , 370.1937
0.1718 , 367.5112
0.1468 , 364.8286
0.1198 , 362.1461
0.0937 , 362.1461
0.0706 , 354.0984
0.0436 , 346.0507
0.0301 , 338.0030
0.0195 , 324.5902
0.0088 , 305.8122
0.0050 , 287.0343
0.0001 , 262.8912
