C6,
X,Y
0.0024 , 90.1385
0.0200 , 109.8667
0.0397 , 117.8282
0.0586 , 118.9189
0.0776 , 120.8820
0.0966 , 121.3182
0.1159 , 120.8638
0.1345 , 125.0264
0.1535 , 125.6807
0.1725 , 125.8989
0.1915 , 126.7714
0.2105 , 126.7714
0.2294 , 129.3889
0.2484 , 128.7345
0.2674 , 129.1707
0.2864 , 129.2829
0.3053 , 128.6763
0.3243 , 130.4795
0.3433 , 131.7155
0.3623 , 131.4974
0.3812 , 132.4426
0.4002 , 135.3509
0.4192 , 133.0970
0.4382 , 132.0936
0.4571 , 132.8062
0.4761 , 133.7514
0.4951 , 133.5332
0.5141 , 133.8968
0.5330 , 133.0970
0.5520 , 132.9516
0.5710 , 132.8789
0.5900 , 134.6966
0.6089 , 134.9147
0.6279 , 135.0601
0.6469 , 137.0232
0.6659 , 135.4964
0.6848 , 135.7145
0.7038 , 136.3689
0.7228 , 135.0601
0.7418 , 138.5293
0.7607 , 137.3141
0.7797 , 135.0601
0.7987 , 137.6049
0.8177 , 135.4964
0.8366 , 138.1139
0.8556 , 138.8409
0.8746 , 138.5501
0.8936 , 138.7537
0.9125 , 139.6844
0.9315 , 139.8589
0.9505 , 140.3678
0.9695 , 140.0770
0.9876 , 138.6592
