PPAC,
X,Y
0.0075 , 605.2887
0.0302 , 679.8897
0.0529 , 756.8982
0.0771 , 827.7298
0.1048 , 887.8641
0.1324 , 934.7644
0.1600 , 976.1911
0.1876 , 1009.1825
0.2153 , 1035.2757
0.2429 , 1059.7693
0.2705 , 1065.0580
0.2981 , 1077.3148
0.3257 , 1087.9120
0.3533 , 1095.5600
0.3809 , 1102.7881
0.4085 , 1107.1356
0.4361 , 1111.9458
0.4637 , 1117.8792
0.4913 , 1123.3628
0.5189 , 1129.4212
0.5465 , 1130.1710
0.5741 , 1138.1489
0.6017 , 1142.5878
0.6293 , 1146.9966
0.6569 , 1152.0953
0.6845 , 1152.9351
0.7121 , 1157.4339
0.7397 , 1160.3432
0.7673 , 1163.9922
0.7949 , 1166.0417
0.8225 , 1169.3408
0.8501 , 1171.0104
0.8777 , 1175.3393
0.9053 , 1180.8878
0.9329 , 1179.9880
0.9605 , 1186.5863
0.9882 , 1188.3859
