ACF-20,
X,Y
0.9955 , 606.9247
0.9499 , 605.9870
0.9243 , 605.9993
0.8979 , 605.5322
0.8735 , 605.5439
0.8491 , 605.0758
0.8183 , 605.0906
0.7991 , 604.6200
0.7477 , 604.1649
0.6976 , 603.2294
0.6476 , 601.8141
0.5975 , 600.3987
0.5474 , 598.5037
0.4979 , 597.5678
0.4671 , 596.1433
0.4157 , 592.8095
0.3675 , 589.4741
0.3109 , 580.3854
0.2491 , 562.1834
0.2019 , 540.6159
0.1812 , 527.1920
0.1592 , 513.2889
0.1391 , 496.9861
0.1183 , 478.7644
0.0994 , 461.0215
0.0877 , 450.4720
0.0786 , 439.4414
0.0688 , 427.4516
0.0610 , 419.2991
0.0492 , 402.9922
0.0433 , 395.3185
0.0381 , 387.1647
0.0335 , 379.4905
0.0282 , 369.8974
0.0236 , 361.2635
0.0183 , 351.1907
0.0150 , 343.5158
0.0117 , 333.9218
0.0083 , 324.3277
0.0056 , 314.2537
0.0042 , 304.1789
0.0021 , 294.1045
0.0020 , 284.9888
-0.0007 , 276.3540
-0.0015 , 267.2385
-0.0029 , 259.0829
-0.0023 , 249.4871
-0.0025 , 240.8511
