ACF-15,
X,Y
0.9978 , 401.0977
0.9747 , 400.1492
0.9676 , 399.6728
0.9439 , 399.2044
0.9189 , 400.1760
0.8925 , 400.1886
0.8681 , 399.7206
0.8373 , 399.2556
0.8168 , 399.7452
0.7674 , 399.7689
0.6974 , 399.3227
0.6467 , 398.8672
0.5973 , 398.4112
0.5472 , 397.9554
0.4978 , 397.0196
0.4470 , 396.0844
0.3982 , 394.6684
0.3475 , 394.2130
0.3006 , 391.3568
0.2505 , 389.4617
0.2023 , 384.6870
0.1850 , 382.7762
0.1644 , 378.9479
0.1425 , 374.1606
0.1200 , 368.4140
0.0999 , 359.7876
0.0896 , 355.4745
0.0793 , 349.2423
0.0689 , 343.0101
0.0559 , 333.9005
0.0481 , 327.1873
0.0429 , 322.3920
0.0390 , 317.5961
0.0338 , 313.2805
0.0286 , 306.0863
0.0234 , 297.9326
0.0168 , 288.3401
0.0141 , 280.6649
0.0121 , 275.3883
0.0102 , 271.5510
0.0075 , 264.8353
0.0061 , 258.5988
0.0041 , 251.8829
0.0027 , 246.6059
0.0020 , 238.4500
0.0013 , 231.7335
0.0011 , 223.5772
0.0010 , 215.4210
-0.0003 , 208.2250
-0.0011 , 201.5084
-0.0012 , 194.3117
-0.0019 , 185.6761
