ACF-7,
X,Y
0.9941 , 225.0200
0.9684 , 225.0323
0.9421 , 224.5651
0.9177 , 224.0971
0.8920 , 224.5891
0.8683 , 224.6005
0.8176 , 224.1451
0.7669 , 223.6896
0.7175 , 223.7134
0.6667 , 223.2579
0.6186 , 223.7608
0.5679 , 223.3053
0.5185 , 222.3695
0.4677 , 221.4343
0.4177 , 221.4583
0.3496 , 219.5718
0.3002 , 219.1157
0.2495 , 218.1805
0.2000 , 215.8053
0.1801 , 214.8553
0.1608 , 214.8646
0.1403 , 213.4351
0.1204 , 212.4851
0.0992 , 210.5761
0.0902 , 209.6209
0.0799 , 208.6663
0.0709 , 208.1908
0.0600 , 206.2769
0.0484 , 204.3634
0.0374 , 201.9697
0.0284 , 198.6156
0.0206 , 193.8215
0.0129 , 188.5476
0.0076 , 181.8332
0.0043 , 173.6785
0.0016 , 166.0033
-0.0004 , 157.8480
