ETP-300-ACF,
X,Y
0.0600 , 235.7236
0.0800 , 238.9746
0.1000 , 240.0771
0.1200 , 240.6292
0.1400 , 241.1196
0.1600 , 241.4820
0.1800 , 241.6122
0.2000 , 242.1929
0.2200 , 242.5379
0.2400 , 243.3186
0.2600 , 243.6111
0.2800 , 243.4866
0.3000 , 243.8191
0.3200 , 243.6676
0.3400 , 244.0234
0.3600 , 244.3512
0.3800 , 244.3840
0.4000 , 244.2322
0.4200 , 243.9942
0.4400 , 244.3687
0.4600 , 244.0921
0.4800 , 244.6770
0.5200 , 244.3970
0.5400 , 244.2320
0.5600 , 244.1953
0.5800 , 244.0571
0.6000 , 244.0726
0.6200 , 243.7695
0.6400 , 244.0564
0.6600 , 243.9415
0.6800 , 243.6288
0.7000 , 243.7646
0.7200 , 243.5525
0.7400 , 243.6916
0.7600 , 243.5513
0.7800 , 243.7068
0.8000 , 243.6105
0.8200 , 243.3071
0.8400 , 243.4316
0.8600 , 243.0069
0.8800 , 243.1240
0.9000 , 243.0574
0.9200 , 243.1958
0.9400 , 243.1783
0.9600 , 242.9861
0.9800 , 243.0543
0.4979 , 243.8547
0.0335 , 232.1229
0.0072 , 217.8771
-0.0007 , 184.7765
-0.0006 , 145.8101
-0.0005 , 132.8212
-0.0004 , 93.4358
-0.0014 , 77.9330
-0.0002 , 38.5475
0.9933 , 243.8547
