ETP-200-ACF,
X,Y
0.0600 , 251.7001
0.0800 , 254.1691
0.1000 , 255.5066
0.1200 , 256.5399
0.1400 , 257.3500
0.1600 , 258.0122
0.1800 , 258.4143
0.2000 , 258.8551
0.2200 , 259.1812
0.2400 , 259.5611
0.2600 , 259.9103
0.2800 , 260.1488
0.3000 , 260.3162
0.3200 , 260.4461
0.3400 , 260.5276
0.3600 , 260.6100
0.3800 , 260.7504
0.4000 , 260.8313
0.4200 , 260.8634
0.4400 , 260.9194
0.4600 , 261.0012
0.4800 , 261.0396
0.5000 , 260.9833
0.5200 , 260.9600
0.5400 , 261.0114
0.5600 , 260.9657
0.5800 , 260.9563
0.6000 , 260.9891
0.6200 , 260.9192
0.6400 , 260.9223
0.6600 , 260.9205
0.6800 , 260.7840
0.7000 , 260.7138
0.7200 , 260.6513
0.7400 , 260.5605
0.7600 , 260.5423
0.7800 , 260.5426
0.8000 , 260.4838
0.8200 , 260.3413
0.8400 , 260.1249
0.8600 , 260.0026
0.8800 , 260.0223
0.9000 , 259.9987
0.9200 , 259.9293
0.9400 , 259.8862
0.9600 , 259.8712
0.9800 , 259.8981
0.0289 , 247.2067
0.0449 , 250.1397
0.0060 , 228.3520
-0.0007 , 193.1564
-0.0007 , 177.6536
-0.0018 , 163.4078
-0.0004 , 93.0168
0.0020 , 79.6089
-0.0002 , 38.5475
