ETP-300-ACF,
X,Y
0.9933 , 243.4358
0.9750 , 242.5978
0.9429 , 242.1788
0.9073 , 242.1788
0.8706 , 242.1788
0.8362 , 242.1788
0.8007 , 242.1788
0.7686 , 243.0168
0.7307 , 243.0168
0.6963 , 242.5978
0.6608 , 243.0168
0.6287 , 243.0168
0.5931 , 243.4358
0.5564 , 243.4358
0.5564 , 243.4358
0.5220 , 243.4358
0.4681 , 243.8547
0.4314 , 243.8547
0.3993 , 243.8547
0.3626 , 243.4358
0.3248 , 243.4358
0.2949 , 243.0168
0.2582 , 242.5978
0.2250 , 242.1788
0.2066 , 241.7598
0.1917 , 241.7598
0.1757 , 241.3408
0.1585 , 240.9218
0.1229 , 240.5028
0.0908 , 239.2458
0.0518 , 236.3128
0.0312 , 233.3799
0.0037 , 218.2961
-0.0007 , 185.1955
-0.0017 , 147.4860
-0.0005 , 132.8212
-0.0004 , 93.4358
-0.0015 , 78.7709
-0.0013 , 38.9665
