AC_15-400-1,
X,Y
0.0116 , 218.9189
0.0281 , 250.3975
0.0524 , 271.8601
0.0854 , 297.6153
0.1489 , 329.0938
0.1843 , 341.9714
0.2236 , 356.9952
0.2619 , 370.5882
0.3012 , 382.7504
0.3414 , 395.6280
0.3812 , 406.3593
0.4214 , 418.5215
0.4617 , 427.8219
0.5048 , 439.2687
0.5456 , 450.0000
0.5873 , 460.0159
0.6285 , 470.7472
0.6683 , 482.9094
0.7076 , 495.0715
0.7454 , 507.2337
0.7818 , 522.2576
0.8157 , 537.9968
0.8468 , 557.3132
0.8754 , 576.6296
0.9016 , 600.9539
0.9248 , 625.9936
0.9486 , 653.8951
0.9704 , 681.7965
0.9913 , 707.5517
