AC_75-400-1,
X,Y
0.8505 , 467.8110
0.8757 , 488.6534
0.8971 , 517.3122
0.9161 , 543.7638
0.9338 , 574.4550
0.9487 , 605.9786
0.9646 , 636.4583
0.9799 , 669.4054
0.9942 , 697.8145
0.8206 , 445.7075
0.7886 , 429.2528
0.7522 , 414.9444
0.7148 , 400.6359
0.6746 , 390.6200
0.6334 , 380.6041
0.5902 , 370.5882
0.5475 , 362.0032
0.5029 , 353.4181
0.4593 , 345.5485
0.4142 , 336.2480
0.3700 , 328.3784
0.3244 , 321.2242
0.2784 , 313.3545
0.2333 , 306.9157
0.1896 , 296.8998
0.1465 , 285.4531
0.1057 , 274.0064
0.0679 , 258.2671
0.0369 , 239.6661
0.0131 , 215.3418
0.0034 , 180.2862
0.0024 , 135.9300
0.0005 , 91.5739
0.0029 , 46.5024
