AC_0-400-1,
X,Y
0.0063 , 173.8474
0.0199 , 208.1876
0.0407 , 235.3736
0.0703 , 258.9825
0.1023 , 279.7297
0.1353 , 297.6153
0.1712 , 314.7854
0.2095 , 331.2401
0.2473 , 346.2639
0.2856 , 360.5723
0.3244 , 375.5962
0.3632 , 389.9046
0.4059 , 402.7822
0.4457 , 417.8060
0.4864 , 429.9682
0.5281 , 442.1304
0.5694 , 454.2925
0.6120 , 466.4547
0.6508 , 482.9094
0.6896 , 498.6486
0.7284 , 510.8108
0.7638 , 526.5501
0.7987 , 543.0048
0.8312 , 562.3211
0.8618 , 583.0684
0.8894 , 603.8156
0.9166 , 626.7091
0.9418 , 651.7488
0.9665 , 674.6423
0.9932 , 698.9666
