AC_45-400-1,
X,Y
0.0116 , 220.3498
0.0281 , 244.6741
0.0524 , 270.4293
0.0776 , 294.7536
0.1067 , 314.7854
0.1387 , 336.2480
0.1707 , 353.4181
0.2008 , 373.4499
0.2347 , 392.0509
0.9952 , 837.0429
0.9767 , 811.2878
0.9544 , 783.3863
0.9316 , 758.3466
0.9064 , 734.7377
0.8831 , 709.6979
0.8560 , 688.9507
0.8283 , 668.2035
0.7968 , 648.1717
0.7672 , 630.2862
0.7338 , 611.6852
0.6998 , 595.2305
0.6654 , 578.7758
0.6295 , 563.0366
0.5926 , 548.0127
0.5558 , 532.2734
0.5184 , 517.2496
0.4821 , 505.0874
0.4447 , 490.0636
0.4083 , 473.6089
0.3725 , 460.7313
0.3390 , 444.9921
