AC_60-400-1,
X,Y
0.9709 , 802.7027
0.9389 , 788.3943
0.9040 , 764.0700
0.8773 , 739.7456
0.8521 , 717.5676
0.8235 , 696.8203
0.7963 , 676.0731
0.7662 , 656.0413
0.7362 , 636.7250
0.7047 , 619.5548
0.6717 , 600.9539
0.6387 , 584.4992
0.6043 , 568.0445
0.5708 , 552.3052
0.5359 , 536.5660
0.5010 , 520.8267
0.4656 , 505.0874
0.0291 , 243.2432
0.0504 , 268.9984
0.0786 , 292.6073
0.1052 , 311.9237
0.1358 , 331.9555
0.1659 , 349.1256
0.2997 , 424.9603
0.2667 , 407.7901
0.3337 , 440.6995
0.3686 , 457.8696
0.4306 , 489.3482
0.3977 , 472.1781
0.2425 , 390.6200
0.2144 , 373.4499
