AC_30-400-1,
X,Y
0.9952 , 778.3784
0.9685 , 755.4849
0.9389 , 734.7377
0.9079 , 715.4213
0.8773 , 696.8203
0.8453 , 678.9348
0.8128 , 658.9030
0.7798 , 641.7329
0.7468 , 624.5628
0.7119 , 608.1081
0.6760 , 590.9380
0.6397 , 573.7679
0.6014 , 556.5978
0.5674 , 540.8585
0.5310 , 525.8347
0.4942 , 510.0954
0.4593 , 495.7870
0.4234 , 477.1860
0.3885 , 460.7313
0.3540 , 444.2766
0.3196 , 425.6757
0.2847 , 408.5056
0.2512 , 389.1892
0.2173 , 370.5882
0.1848 , 353.4181
0.1499 , 332.6709
0.1178 , 310.4928
0.0883 , 293.3227
0.0621 , 271.8601
