0.25-O-C,
X,Y
0.0400 , 6.0623
0.0600 , 6.2081
0.0800 , 6.3368
0.1000 , 6.4179
0.1200 , 6.4654
0.1400 , 6.5136
0.1600 , 6.5542
0.1800 , 6.5906
0.2000 , 6.6251
0.2200 , 6.6549
0.2400 , 6.6933
0.2600 , 6.7225
0.2800 , 6.7369
0.3000 , 6.7413
0.3200 , 6.7653
0.3400 , 6.8055
0.3600 , 6.8257
0.3800 , 6.8333
0.4000 , 6.8430
0.4200 , 6.8473
0.4400 , 6.8527
0.4600 , 6.8756
0.4800 , 6.9014
0.5000 , 6.9200
0.5200 , 6.9383
0.5400 , 6.9562
0.5600 , 6.9705
0.5800 , 6.9842
0.6000 , 7.0004
0.6200 , 7.0118
0.6400 , 7.0143
0.6600 , 7.0191
0.6800 , 7.0354
0.7000 , 7.0555
0.7200 , 7.0704
0.7400 , 7.0712
0.7600 , 7.0753
0.7800 , 7.0903
0.8000 , 7.0972
0.8200 , 7.1183
0.8400 , 7.1477
0.8600 , 7.1709
0.8800 , 7.2199
0.9000 , 7.2796
0.9200 , 7.3421
0.9400 , 7.4341
0.9600 , 7.6135
1.0016 , 9.3399
0.9893 , 8.4622
0.9779 , 7.9020
0.0197 , 5.6970
0.0008 , 4.9128
0.0000 , 3.6239
0.0025 , 2.3163
0.0016 , 1.0087
