O-C,
X,Y
0.9934 , 2.5406
0.9287 , 2.0188
0.9189 , 1.8508
0.8500 , 1.6280
0.8270 , 1.6097
0.7787 , 1.4985
0.7787 , 1.4985
0.7328 , 1.4433
0.6959 , 1.4067
0.6426 , 1.2769
0.6164 , 1.2214
0.5574 , 1.1291
0.5311 , 1.0922
0.4754 , 1.0185
0.4697 , 0.9813
0.3984 , 0.9079
0.3893 , 0.8894
0.3246 , 0.8159
0.3000 , 0.7790
0.2664 , 0.7609
0.2434 , 0.7427
0.2434 , 0.7427
0.2434 , 0.7427
0.2238 , 0.7430
0.2107 , 0.7433
0.1959 , 0.7249
0.1828 , 0.6877
0.1533 , 0.6883
0.1254 , 0.6515
0.0951 , 0.6333
0.0656 , 0.5779
0.0279 , 0.4478
0.0041 , 0.2241
