0.11-C,
X,Y
0.0200 , 3.7793
0.0400 , 4.1528
0.0600 , 4.3150
0.0800 , 4.4809
0.1000 , 4.5850
0.1200 , 4.6900
0.1400 , 4.7800
0.1600 , 4.8508
0.1800 , 4.8983
0.2000 , 4.9477
0.2200 , 4.9841
0.2400 , 5.0358
0.2600 , 5.0187
0.2800 , 5.0360
0.3000 , 5.0738
0.3200 , 5.0716
0.3400 , 5.1041
0.3600 , 5.1390
0.3800 , 5.1571
0.4000 , 5.1396
0.4200 , 5.1918
0.4400 , 5.2216
0.4600 , 5.2264
0.4800 , 5.2609
0.5000 , 5.2599
0.5200 , 5.2787
0.5400 , 5.3129
0.5600 , 5.3128
0.5800 , 5.3475
0.6000 , 5.3476
0.6200 , 5.3648
0.6400 , 5.3310
0.6600 , 5.3648
0.6800 , 5.3653
0.7000 , 5.4001
0.7200 , 5.3994
0.7400 , 5.3994
0.7600 , 5.4355
0.7800 , 5.4340
0.8000 , 5.4511
0.8200 , 5.4336
0.8400 , 5.5024
0.8600 , 5.4860
0.8800 , 5.4860
0.9000 , 5.5031
0.9200 , 5.5384
0.9400 , 5.6237
0.9600 , 5.7304
0.9800 , 5.9245
