0.11-R,
X,Y
0.0400 , 2.6975
0.0600 , 2.8587
0.0800 , 2.9350
0.1000 , 3.0109
0.1200 , 3.0631
0.1400 , 3.1151
0.1600 , 3.1672
0.1800 , 3.1969
0.2000 , 3.2540
0.2200 , 3.2881
0.2400 , 3.2879
0.2600 , 3.3409
0.2800 , 3.3419
0.3000 , 3.3400
0.3200 , 3.3573
0.3400 , 3.3573
0.3600 , 3.3745
0.3800 , 3.3921
0.4000 , 3.3980
0.4200 , 3.4093
0.4400 , 3.4394
0.4600 , 3.4252
0.4800 , 3.4610
0.5000 , 3.4785
0.5200 , 3.5131
0.5400 , 3.5304
0.5600 , 3.5645
0.5800 , 3.5653
0.6000 , 3.5823
0.6200 , 3.6004
0.6400 , 3.6169
0.6600 , 3.6328
0.6800 , 3.6302
0.7000 , 3.6333
0.7200 , 3.6515
0.7400 , 3.6515
0.7600 , 3.6695
0.7800 , 3.6688
0.8000 , 3.6693
0.8200 , 3.6861
0.8400 , 3.7035
0.8600 , 3.7210
0.8800 , 3.7740
0.9000 , 3.7795
0.9200 , 3.8430
0.9400 , 3.8938
0.9600 , 3.9482
0.9800 , 4.0810
0.9910 , 4.2032
1.0008 , 5.0809
0.0131 , 2.1106
0.0041 , 1.6064
