0.25-R,
X,Y
0.2000 , 6.6984
0.2200 , 6.8227
0.2400 , 6.8971
0.2600 , 6.9453
0.2800 , 6.9828
0.3000 , 7.0163
0.3200 , 7.0487
0.3400 , 7.0835
0.3600 , 7.1230
0.3800 , 7.1657
0.4000 , 7.2067
0.4200 , 7.2433
0.4400 , 7.2821
0.4600 , 7.3291
0.4800 , 7.3797
0.5000 , 7.4295
0.5200 , 7.4790
0.5400 , 7.5290
0.5600 , 7.5816
0.5800 , 7.6381
0.6000 , 7.6930
0.6200 , 7.7413
0.6400 , 7.7823
0.6600 , 7.8165
0.6800 , 7.8487
0.7000 , 7.8837
0.7200 , 7.9227
0.7400 , 7.9649
0.7600 , 8.0069
0.7800 , 8.0464
0.8000 , 8.0858
0.8200 , 8.1287
0.8400 , 8.1776
0.8600 , 8.2325
0.8800 , 8.2893
0.9000 , 8.3541
0.9200 , 8.4632
0.9400 , 8.6472
0.9600 , 8.9246
0.9800 , 9.2401
0.1639 , 6.5723
0.1164 , 6.3677
0.0730 , 6.1630
0.0361 , 5.6780
0.0139 , 4.8192
0.0033 , 4.0535
0.0008 , 2.9327
0.0000 , 1.7746
0.0000 , 0.6725
