0.25-C,
X,Y
0.0200 , 5.4212
0.0400 , 6.0567
0.0600 , 6.5628
0.0800 , 6.7713
0.1000 , 6.9555
0.1200 , 7.0823
0.1400 , 7.2002
0.1600 , 7.2829
0.1800 , 7.3337
0.2000 , 7.3938
0.2200 , 7.4642
0.2400 , 7.5165
0.2600 , 7.5445
0.2800 , 7.5694
0.3000 , 7.5988
0.3200 , 7.6488
0.3400 , 7.7032
0.3600 , 7.7561
0.3800 , 7.8045
0.4000 , 7.8337
0.4200 , 7.8444
0.4400 , 7.8691
0.4600 , 7.9463
0.4800 , 8.0173
0.5000 , 8.0603
0.5200 , 8.0894
0.5400 , 8.0811
0.5600 , 8.0872
0.5800 , 8.1074
0.6000 , 8.1412
0.6200 , 8.1876
0.6400 , 8.1921
0.6600 , 8.1631
0.6800 , 8.1653
0.7000 , 8.2210
0.7200 , 8.2525
0.7400 , 8.3084
0.7600 , 8.3251
0.7800 , 8.3192
0.8000 , 8.3483
0.8200 , 8.4109
0.8400 , 8.4468
0.8600 , 8.5364
0.8800 , 8.5922
0.9000 , 8.6594
0.9200 , 8.7652
0.9400 , 8.9032
0.9600 , 9.1877
0.9967 , 10.8531
0.9902 , 10.0687
0.9762 , 9.6019
