OPKC10,
X,Y
0.0077 , 227.6601
0.0269 , 254.4117
0.0761 , 292.5893
0.0971 , 302.0423
0.1190 , 313.4618
0.1340 , 319.3714
0.1568 , 329.2190
0.1768 , 337.4916
0.1983 , 344.5858
0.2621 , 365.4748
0.3031 , 376.1230
0.3532 , 387.1716
0.3929 , 396.6392
0.4430 , 403.3628
0.4913 , 412.0509
0.5419 , 418.3816
0.5921 , 425.4984
0.6436 , 433.0094
0.6933 , 439.7326
0.7438 , 446.4565
0.7917 , 452.7851
0.8154 , 454.7697
0.8441 , 459.5104
0.8701 , 463.4627
0.8943 , 468.5931
0.9211 , 472.5461
0.9430 , 479.2475
0.9585 , 483.9779
0.9681 , 491.4559
0.9681 , 491.4559
0.9799 , 498.5426
