OPZn5,
X,Y
0.0068 , 206.2616
0.0262 , 242.7327
0.0542 , 270.5789
0.0750 , 284.1682
0.0967 , 295.7675
0.1161 , 307.3675
0.1319 , 312.9997
0.1604 , 326.5865
0.1762 , 332.2186
0.1952 , 339.1762
0.2508 , 358.7230
0.2924 , 371.6422
0.3493 , 385.5511
0.3963 , 395.1523
0.4424 , 403.4274
0.4894 , 412.0337
0.5409 , 415.6644
0.5956 , 421.2837
0.6453 , 423.5885
0.6909 , 426.5579
0.7438 , 429.1933
0.7944 , 431.1662
0.8156 , 432.4856
0.8446 , 433.8025
0.8708 , 434.1254
0.8961 , 435.1118
0.9214 , 437.0931
0.9453 , 438.0800
0.9562 , 438.7397
0.9643 , 440.3950
0.9747 , 440.7232
0.9869 , 442.0456
