OPZn9,
X,Y
0.9896 , 294.4765
0.9779 , 294.1488
0.9643 , 293.4901
0.9480 , 292.8323
0.9227 , 292.1774
0.8956 , 290.8600
0.8712 , 290.2048
0.8477 , 290.8758
0.8174 , 288.2330
0.7958 , 288.2402
0.7460 , 287.2618
0.6950 , 287.9420
0.6453 , 285.9688
0.5951 , 282.6693
0.5459 , 280.0327
0.4925 , 276.0710
0.4437 , 269.7865
0.3936 , 263.5025
0.3470 , 255.8908
0.2978 , 246.6220
0.2576 , 238.0133
0.1966 , 225.1006
0.1749 , 220.4652
0.1554 , 214.5026
0.1342 , 208.5406
0.1179 , 204.8983
0.0981 , 196.6145
0.0759 , 189.3263
0.0569 , 181.7055
0.0285 , 164.8026
0.0077 , 145.9075
