OPKC85,
X,Y
0.0079 , 241.7048
0.0441 , 271.2779
0.0643 , 278.2131
0.0845 , 282.8938
0.1047 , 286.9150
0.1249 , 290.9122
0.1451 , 291.9234
0.1652 , 295.1171
0.1845 , 295.5088
0.2056 , 296.0602
0.2258 , 297.3712
0.2460 , 297.8188
0.2662 , 298.7700
0.2864 , 300.1530
0.3065 , 299.3534
0.3267 , 300.1847
0.3469 , 299.0494
0.3671 , 300.2165
0.3873 , 300.9759
0.4075 , 301.3035
0.4276 , 300.2641
0.4478 , 302.1027
0.4680 , 302.1666
0.4882 , 302.9739
0.5084 , 303.1097
0.5286 , 302.7179
0.5488 , 303.5012
0.5689 , 302.7496
0.5891 , 303.0533
0.6093 , 303.2610
0.6295 , 302.7972
0.6497 , 302.9570
0.6699 , 303.4525
0.6900 , 303.7322
0.7102 , 303.3644
0.7304 , 304.6754
0.7506 , 306.6579
0.7708 , 304.4913
0.7910 , 306.5458
0.8112 , 306.9214
0.8313 , 305.2584
0.8515 , 306.7373
0.8717 , 307.8132
0.8919 , 307.7044
0.9121 , 307.4564
0.9323 , 309.1032
0.9524 , 309.5460
0.9726 , 313.2266
0.9882 , 316.5782
0.0255 , 264.2403
