OPKC95,
X,Y
0.0120 , 268.7701
0.0334 , 297.2450
0.0634 , 321.8320
0.0928 , 339.4020
0.1221 , 357.2072
0.1515 , 369.2506
0.1816 , 380.5362
0.2102 , 390.4685
0.2396 , 399.3461
0.2689 , 406.3440
0.2983 , 413.6387
0.3276 , 419.7461
0.3570 , 424.3696
0.3864 , 431.1201
0.4157 , 436.6835
0.4451 , 441.7027
0.4744 , 444.5454
0.5040 , 448.7502
0.5332 , 453.1493
0.5625 , 456.4866
0.5919 , 460.3681
0.6212 , 463.7054
0.6506 , 465.9050
0.6800 , 468.5499
0.7093 , 471.2441
0.7387 , 474.9772
0.7680 , 477.4736
0.7974 , 480.1185
0.8268 , 481.7245
0.8561 , 484.2209
0.8855 , 486.4700
0.9148 , 489.9062
0.9442 , 495.6867
0.9735 , 507.3152
0.9919 , 518.7564
