OPKC85,
X,Y
0.0068 , 242.2072
0.0251 , 264.2399
0.0588 , 279.6006
0.0798 , 283.1558
0.0998 , 286.7102
0.1240 , 291.0542
0.1500 , 293.8270
0.1673 , 295.8065
0.1864 , 295.0352
0.2042 , 295.8355
0.2484 , 297.4430
0.3031 , 299.8452
0.3482 , 300.2738
0.3979 , 302.6720
0.4476 , 302.7111
0.4968 , 305.5021
0.5460 , 305.1476
0.5985 , 304.4025
0.6655 , 305.2415
0.6960 , 305.6587
0.7457 , 306.8773
0.7976 , 307.3114
0.8181 , 306.9343
0.8469 , 307.3501
0.8719 , 307.3698
0.8979 , 307.3902
0.9216 , 307.4089
0.9448 , 309.3931
0.9590 , 310.5837
0.9699 , 313.7378
0.9799 , 315.3184
0.9868 , 318.4693
