OPKC8,
X,Y
0.0139 , 154.1961
0.0396 , 166.8515
0.0652 , 172.5043
0.0909 , 176.0220
0.1166 , 178.4241
0.1423 , 180.6416
0.1680 , 182.6405
0.1937 , 183.7254
0.2194 , 184.5088
0.2451 , 184.2557
0.2708 , 185.8871
0.2964 , 186.1598
0.3221 , 189.9979
0.3478 , 188.7367
0.3735 , 190.2079
0.3992 , 188.7771
0.4249 , 190.2483
0.4506 , 188.8175
0.4763 , 190.2887
0.5020 , 189.5363
0.5277 , 192.7035
0.5533 , 191.1295
0.5790 , 192.7439
0.6047 , 191.1699
0.6304 , 192.5582
0.6561 , 191.4364
0.6818 , 192.2293
0.7075 , 191.8386
0.7332 , 192.2433
0.7589 , 192.0637
0.7845 , 192.1970
0.8102 , 190.9019
0.8359 , 191.7474
0.8616 , 191.5340
0.8873 , 191.9574
0.9130 , 192.0455
0.9387 , 192.0657
0.9644 , 195.7040
0.9864 , 197.1007
