OPKC9,
X,Y
0.0073 , 268.9441
0.0278 , 296.8764
0.0597 , 318.1335
0.1003 , 333.1064
0.1226 , 337.0558
0.1454 , 342.1851
0.1700 , 344.1704
0.1896 , 348.5108
0.2101 , 349.7065
0.2493 , 352.4896
0.3013 , 355.6760
0.3560 , 358.0781
0.3947 , 360.0745
0.4485 , 361.6895
0.4982 , 363.6945
0.5483 , 364.5203
0.5975 , 366.9181
0.6468 , 366.9568
0.6974 , 366.9966
0.7470 , 367.4289
0.7985 , 367.8625
0.8200 , 369.4521
0.8487 , 369.4747
0.8724 , 371.4593
0.8993 , 371.4804
0.9230 , 373.0718
0.9490 , 375.8445
0.9617 , 377.4273
0.9727 , 379.0086
0.9818 , 382.1613
0.9881 , 388.0641
