OPKC9,
X,Y
0.0084 , 268.7332
0.0340 , 300.7652
0.0634 , 320.9416
0.0928 , 332.0864
0.1221 , 337.4606
0.1533 , 343.4800
0.1827 , 345.5889
0.2120 , 349.8018
0.2414 , 352.2719
0.2708 , 353.7295
0.3001 , 355.9126
0.3295 , 357.9638
0.3588 , 358.0859
0.3882 , 360.1371
0.4176 , 360.4075
0.4469 , 360.8263
0.4763 , 361.9871
0.5056 , 363.1480
0.5350 , 363.0721
0.5644 , 364.5297
0.5937 , 365.5916
0.6231 , 365.3179
0.6524 , 365.6378
0.6818 , 365.5125
0.7111 , 366.9701
0.7405 , 367.3889
0.7699 , 367.8077
0.7992 , 367.8803
0.8286 , 369.4368
0.8579 , 370.6966
0.8873 , 371.5606
0.9167 , 372.4246
0.9460 , 375.8114
0.9754 , 381.5726
0.9891 , 388.4580
