2-0,
X,Y
0.9896 , 812.1999
0.9742 , 806.6698
0.9502 , 799.7593
0.9236 , 790.5429
0.9009 , 785.4775
0.8765 , 779.0286
0.8517 , 771.6571
0.8268 , 766.1313
0.8014 , 760.6058
0.7770 , 755.5413
0.7517 , 749.0928
0.7268 , 745.4128
0.7010 , 740.8103
0.6771 , 734.8227
0.6517 , 729.7586
0.6260 , 724.6947
0.6011 , 719.6303
0.5762 , 714.1046
0.5500 , 709.5023
0.5246 , 703.9768
0.4998 , 697.9896
0.4731 , 693.3875
0.4500 , 684.6308
0.4238 , 678.1828
0.4007 , 670.3490
0.3758 , 661.1318
0.3492 , 650.9925
0.3234 , 640.8528
0.2985 , 630.2512
0.2763 , 619.6484
0.2501 , 602.5873
0.2248 , 591.0631
0.2013 , 574.4622
0.1737 , 556.4789
0.1506 , 536.1863
0.1257 , 513.1259
0.1004 , 487.7585
0.0764 , 461.4677
0.0493 , 434.7169
0.0253 , 399.6587
