1-5,
X,Y
0.0253 , 495.6376
0.0520 , 544.0762
0.0760 , 601.7448
0.1009 , 649.2613
0.1257 , 673.7060
0.1506 , 704.6108
0.1728 , 734.1325
0.2004 , 760.8832
0.2248 , 784.4052
0.2501 , 804.2353
0.2754 , 817.1438
0.2981 , 831.8994
0.3229 , 845.2696
0.3496 , 856.7932
0.3754 , 866.4715
0.4012 , 874.3040
0.4229 , 881.6770
0.4496 , 888.5862
0.4740 , 895.4965
0.4993 , 900.0992
0.5246 , 905.6247
0.5500 , 910.6889
0.5762 , 915.7526
0.6011 , 920.3555
0.6260 , 924.9584
0.6517 , 928.1765
0.6766 , 932.3180
0.7019 , 935.9978
0.7268 , 941.0621
0.7521 , 944.2805
0.7766 , 947.4993
0.8014 , 950.2564
0.8268 , 953.9362
0.8512 , 957.1550
0.8765 , 960.3734
0.9009 , 964.0536
0.9240 , 966.3502
0.9498 , 970.4912
0.9751 , 974.6324
0.9900 , 976.0099
0.9923 , 987.0833
