0-5,
X,Y
0.0240 , 337.8268
0.0507 , 371.9608
0.0751 , 397.3286
0.1004 , 417.1587
0.1253 , 435.6047
0.1506 , 452.6662
0.1732 , 466.9603
0.2004 , 483.0981
0.2243 , 495.0844
0.2497 , 506.6086
0.2759 , 519.0553
0.2981 , 528.7352
0.3234 , 538.8752
0.3496 , 549.0147
0.3754 , 556.8472
0.4007 , 564.2185
0.4238 , 571.5909
0.4500 , 580.3461
0.4740 , 586.7951
0.4998 , 592.3205
0.5246 , 597.8462
0.5500 , 602.9104
0.5762 , 607.9741
0.6011 , 613.0384
0.6264 , 616.7182
0.6522 , 620.8592
0.6766 , 624.5395
0.7010 , 629.6040
0.7268 , 633.7450
0.7517 , 637.8865
0.7766 , 640.6436
0.8005 , 645.2469
0.8259 , 649.3882
0.8507 , 653.5296
0.8761 , 658.1323
0.9005 , 662.2740
0.9231 , 665.0322
0.9498 , 669.6342
0.9747 , 675.1600
0.9923 , 677.9205
