ACF30M,
X,Y
0.9955 , 345.0593
0.9876 , 341.8972
0.9791 , 340.3162
0.9692 , 338.7352
0.9577 , 337.9447
0.9458 , 337.1542
0.9324 , 336.7589
0.9214 , 335.9684
0.9010 , 334.7826
0.8797 , 333.5968
0.8608 , 333.2016
0.8399 , 332.8063
0.8200 , 332.4111
0.8051 , 331.6206
0.7897 , 331.6206
0.7598 , 330.4348
0.7295 , 330.0395
0.7001 , 329.2490
0.6499 , 328.4585
0.5997 , 326.4822
0.5490 , 325.2964
0.4998 , 324.1107
0.4804 , 323.3202
0.4590 , 323.3202
0.4406 , 321.7391
0.4192 , 321.7391
0.3998 , 320.1581
0.3819 , 319.7628
0.3685 , 318.9723
0.3560 , 318.1818
0.3416 , 316.9960
0.3287 , 315.8103
0.3173 , 314.6245
0.3018 , 312.6482
0.2909 , 311.8577
0.2815 , 309.4862
0.2720 , 308.6957
0.2626 , 306.7194
0.2526 , 305.5336
0.2432 , 303.9526
0.2332 , 301.5810
0.2233 , 299.2095
0.2123 , 296.8379
0.2039 , 294.4664
0.1919 , 292.8854
0.1830 , 289.7233
0.1721 , 285.7708
0.1611 , 282.6087
0.1502 , 279.4466
0.1402 , 274.7036
0.1293 , 270.7510
0.1183 , 266.0079
0.1084 , 261.2648
0.0995 , 256.5217
0.0890 , 251.7787
0.0781 , 245.4545
0.0681 , 239.1304
0.0597 , 231.6206
0.0542 , 228.0632
0.0477 , 222.9249
0.0408 , 218.1818
0.0343 , 213.4387
0.0283 , 207.5099
0.0234 , 202.3715
0.0189 , 195.6522
0.0139 , 189.7233
0.0080 , 183.3992
0.0025 , 176.2846
-0.0015 , 166.0079
