ACF30M-HNO3,
X,Y
0.9945 , 202.3762
0.9801 , 202.3762
0.9652 , 202.3762
0.9479 , 202.3762
0.9305 , 202.3762
0.9156 , 202.3762
0.8997 , 202.3762
0.8828 , 201.5842
0.8654 , 201.1881
0.8466 , 201.1881
0.8267 , 201.1881
0.8098 , 201.1881
0.7915 , 201.1881
0.7597 , 201.9802
0.7309 , 201.1881
0.6996 , 200.7921
0.6504 , 200.0000
0.6008 , 199.6040
0.5497 , 198.8119
0.5000 , 196.8317
0.4821 , 196.8317
0.4588 , 194.8515
0.4424 , 194.8515
0.4290 , 194.8515
0.4111 , 193.2673
0.3942 , 192.4752
0.3793 , 192.0792
0.3600 , 190.8911
0.3436 , 189.3069
0.3302 , 188.5149
0.3158 , 187.3267
0.3009 , 186.1386
0.2890 , 184.1584
0.2761 , 182.1782
0.2617 , 179.8020
0.2507 , 178.2178
0.2398 , 176.2376
0.2304 , 173.8614
0.2214 , 171.8812
0.2125 , 169.5050
0.2021 , 167.5248
0.1912 , 164.7525
0.1822 , 161.5842
0.1718 , 158.8119
0.1609 , 156.0396
0.1509 , 152.8713
0.1410 , 149.3069
0.1301 , 145.3465
0.1202 , 142.5743
0.1087 , 137.8218
0.0998 , 134.2574
0.0854 , 128.3168
0.0685 , 120.3960
0.0492 , 110.8911
0.0412 , 104.9505
0.0288 , 99.0099
0.0209 , 90.2970
0.0129 , 81.5842
0.0079 , 72.0792
