5AC,
X,Y
0.1513 , 133.2680
0.1999 , 134.1357
0.2486 , 134.6600
0.3037 , 135.5251
0.3556 , 135.4754
0.4043 , 136.6484
0.4546 , 136.6458
0.5065 , 137.1839
0.6038 , 137.1264
0.6995 , 137.9702
0.8033 , 138.3957
0.9023 , 138.5658
0.9477 , 139.5637
0.9672 , 139.4686
0.9850 , 140.2005
0.9978 , 141.4819
0.9769 , 139.6552
0.1083 , 132.5431
0.0973 , 131.8966
0.0888 , 131.2500
0.0754 , 131.2500
0.0693 , 128.0172
0.0608 , 128.0172
0.0560 , 127.3707
0.0474 , 125.4310
0.0414 , 124.7845
0.0353 , 123.4914
0.0280 , 123.4914
0.0219 , 121.5517
0.0182 , 114.4397
0.0109 , 109.9138
0.0049 , 104.0948
