6AC,
X,Y
0.1472 , 162.9310
0.1967 , 170.0123
0.2453 , 174.6305
0.2989 , 178.6330
0.3508 , 181.1576
0.3978 , 183.6207
0.4481 , 185.4064
0.4992 , 186.6379
0.5957 , 189.4089
0.6995 , 191.9335
0.8025 , 194.3966
0.8998 , 198.2759
0.9477 , 202.3707
0.9562 , 203.0172
0.9659 , 204.3103
0.9757 , 206.8966
0.9915 , 214.0086
0.0973 , 154.5259
0.0888 , 152.5862
0.0815 , 150.0000
0.0742 , 148.0603
0.0669 , 146.1207
0.0596 , 144.1810
0.0517 , 137.3922
0.0450 , 133.8362
0.0383 , 129.9569
0.0182 , 104.7414
0.0122 , 95.6897
0.0079 , 80.8190
