7AC,
X,Y
0.9915 , 413.1466
0.9793 , 409.2672
0.9684 , 380.8190
0.9574 , 367.8879
0.9477 , 360.7759
0.9039 , 343.9655
0.7993 , 331.6810
0.7019 , 323.9224
0.6034 , 318.7500
0.4988 , 313.5776
0.4477 , 310.9914
0.3978 , 308.4052
0.3552 , 305.1724
0.3041 , 301.9397
0.2518 , 297.4138
0.2019 , 291.5948
0.1509 , 283.1897
0.1046 , 272.1983
0.0985 , 270.2586
0.0912 , 267.6724
0.0827 , 265.7328
0.0754 , 262.5000
0.0693 , 259.9138
0.0596 , 256.0345
0.0487 , 249.5690
0.0426 , 246.3362
0.0535 , 252.1552
0.0377 , 243.1034
0.0341 , 239.8707
0.0268 , 234.0517
0.0231 , 230.1724
0.0170 , 223.7069
0.0122 , 215.9483
0.0085 , 208.8362
