AC-MW1,
X,Y
0.9926 , 144.0495
0.9711 , 139.6632
0.9503 , 138.8847
0.9065 , 137.3273
0.8591 , 136.5420
0.8096 , 136.2715
0.7606 , 135.4858
0.7108 , 135.2153
0.6610 , 135.2024
0.6100 , 134.6739
0.5605 , 134.4035
0.5103 , 133.6174
0.4593 , 133.6043
0.4087 , 133.3336
0.3585 , 132.5475
0.3074 , 132.2767
0.2580 , 131.4909
0.2265 , 130.7097
0.1887 , 129.9268
0.1687 , 129.1486
0.1516 , 128.6288
0.1345 , 128.1090
0.1145 , 126.3000
0.0922 , 124.4904
0.0743 , 122.4242
0.0583 , 119.5854
0.0472 , 116.7479
0.0400 , 114.4268
0.0308 , 111.0744
0.0248 , 107.9805
0.0192 , 104.8867
0.0157 , 101.2781
0.0113 , 96.1231
0.0069 , 89.9372
0.0041 , 82.9788
0.0021 , 77.5666
0.0001 , 71.1238
-0.0015 , 63.3925
