RAC,
X,Y
0.0214 , 259.8425
0.0278 , 267.0427
0.0358 , 275.1398
0.0462 , 282.9464
0.0598 , 290.8439
0.0766 , 298.0496
0.0941 , 303.7409
0.1117 , 307.7923
0.1293 , 310.9434
0.1469 , 313.4514
0.1645 , 315.2842
0.1821 , 316.8276
0.1996 , 318.1137
0.2172 , 319.1748
0.2348 , 320.2681
0.2524 , 321.0397
0.2700 , 321.8436
0.2876 , 322.6153
0.3051 , 323.2905
0.3227 , 323.9015
0.3403 , 324.5445
0.3579 , 325.0269
0.3755 , 325.5413
0.3930 , 326.1201
0.4106 , 326.4416
0.4282 , 326.9239
0.4458 , 327.3741
0.4634 , 327.6635
0.4810 , 328.0493
0.4985 , 328.3709
0.5161 , 328.8532
0.5337 , 329.0783
0.5513 , 329.3033
0.5689 , 329.7857
0.5865 , 329.8178
0.6040 , 330.3001
0.6216 , 330.4930
0.6392 , 330.7824
0.6568 , 330.9754
0.6744 , 331.2004
0.6919 , 331.4898
0.7095 , 331.7149
0.7271 , 331.9078
0.7447 , 332.0043
0.7623 , 332.4223
0.7799 , 332.6152
0.7974 , 332.6474
0.8150 , 333.1297
0.8326 , 333.3226
0.8502 , 333.5477
0.8678 , 334.0300
0.8854 , 334.1908
0.9029 , 334.7374
0.9205 , 335.2840
0.9381 , 335.8306
0.9557 , 336.9882
0.9733 , 338.6923
