AC-KG,
X,Y
0.9973 , 223.3159
0.9726 , 221.3577
0.9513 , 220.1828
0.9080 , 219.0078
0.8619 , 218.2245
0.8150 , 218.2245
0.7611 , 216.6580
0.7106 , 216.2663
0.6584 , 215.8747
0.6106 , 216.2663
0.5575 , 216.6580
0.5088 , 215.4830
0.4602 , 215.4830
0.4080 , 215.4830
0.3602 , 214.6997
0.3097 , 213.5248
0.2584 , 214.6997
0.2248 , 213.1332
0.1920 , 212.3499
0.1699 , 211.1749
0.1504 , 210.0000
0.1319 , 209.2167
0.1088 , 206.8668
0.0929 , 202.9504
0.0814 , 200.6005
0.0637 , 199.0339
0.0558 , 195.5091
0.0434 , 189.6345
0.0389 , 185.3264
0.0301 , 179.4517
0.0274 , 172.0104
0.0177 , 165.3525
0.0177 , 160.2611
