AC-MM1,
X,Y
0.9903 , 202.5457
0.9703 , 198.9328
0.9544 , 197.3826
0.9062 , 195.5663
0.8579 , 195.0384
0.8093 , 194.2528
0.7595 , 193.7246
0.7089 , 193.1962
0.6586 , 192.9255
0.6080 , 192.6548
0.5590 , 192.1268
0.5076 , 191.8558
0.4570 , 191.0697
0.4063 , 190.2836
0.3549 , 189.4972
0.3031 , 188.7108
0.2569 , 187.6681
0.2302 , 187.1458
0.1827 , 184.8143
0.1632 , 183.7785
0.1465 , 182.2281
0.1317 , 180.9358
0.1066 , 177.8370
0.0998 , 176.8044
0.0875 , 174.2243
0.0735 , 170.8707
0.0636 , 168.2912
0.0564 , 165.7124
0.0468 , 161.8445
0.0400 , 159.2658
0.0344 , 156.1720
0.0305 , 153.5940
0.0253 , 149.9849
0.0209 , 147.1492
0.0133 , 138.9010
0.0093 , 134.2614
0.0041 , 125.2408
0.0029 , 115.1903
0.0005 , 105.6550
0.0005 , 97.9242
-0.0011 , 88.6467
