AC-NaG,
X,Y
0.9504 , 225.2742
0.9743 , 226.0574
0.9947 , 228.4073
0.9022 , 223.9034
0.8535 , 222.7285
0.8058 , 221.7493
0.7580 , 220.7702
0.7088 , 219.7911
0.6597 , 219.3995
0.6097 , 218.6162
0.5597 , 218.0287
0.5097 , 217.4413
0.4593 , 217.4413
0.4088 , 216.6580
0.3575 , 216.0705
0.3062 , 215.2872
0.2584 , 214.6997
0.2257 , 213.9164
0.1885 , 212.7415
0.1681 , 212.1540
0.1509 , 211.1749
0.1332 , 210.3916
0.1124 , 208.8251
0.0867 , 206.4752
0.0743 , 204.9086
0.0668 , 204.1253
0.0553 , 201.7755
0.0451 , 199.4256
0.0389 , 196.6841
0.0336 , 195.1175
0.0274 , 191.2010
0.0230 , 187.6762
0.0177 , 182.1932
0.0142 , 177.8851
0.0115 , 172.0104
0.0088 , 166.9191
0.0053 , 161.8277
0.0035 , 155.1697
0.0018 , 148.9034
0.0009 , 142.6371
-0.0009 , 135.5875
0.0000 , 128.1462
0.0000 , 120.7050
0.0000 , 115.2219
-0.0009 , 107.3890
-0.0009 , 99.5561
0.0000 , 92.8982
0.0000 , 85.4569
0.0027 , 78.0157
