RAC,
X,Y
0.0059 , 231.5881
0.0116 , 243.9792
0.0181 , 255.5388
0.0263 , 267.2300
0.0393 , 278.6862
0.0563 , 289.6132
0.0742 , 297.7847
0.0921 , 303.5682
0.1100 , 307.9190
0.1279 , 311.0279
0.1457 , 313.6116
0.1636 , 315.5743
0.1815 , 317.1072
0.1994 , 318.3536
0.2173 , 319.4567
0.2351 , 320.5120
0.2530 , 321.3763
0.2709 , 322.1450
0.2888 , 323.0571
0.3066 , 323.4915
0.3245 , 324.2125
0.3424 , 324.6947
0.3603 , 325.3680
0.3781 , 325.9457
0.3960 , 326.4279
0.4139 , 326.9579
0.4318 , 327.2490
0.4497 , 327.6357
0.4675 , 328.2612
0.4854 , 328.5524
0.5033 , 328.7002
0.5212 , 329.3257
0.5390 , 329.6169
0.5569 , 329.6215
0.5748 , 330.0559
0.5927 , 330.5859
0.6105 , 330.6860
0.6284 , 330.6906
0.6463 , 331.0296
0.6642 , 331.5118
0.6820 , 331.7552
0.6999 , 331.8553
0.7178 , 332.2897
0.7357 , 332.2943
0.7536 , 332.5377
0.7714 , 332.8289
0.7893 , 332.9768
0.8072 , 333.3635
0.8251 , 333.7979
0.8429 , 333.8981
0.8608 , 334.0937
0.8787 , 334.6714
0.8966 , 334.9626
0.9144 , 335.3970
0.9323 , 336.0225
0.9502 , 336.9345
0.9681 , 338.5152
0.9794 , 339.8873
