AC-Gly,
X,Y
0.3000 , 312.8043
0.3200 , 312.7505
0.3400 , 313.1521
0.3600 , 313.8393
0.3800 , 314.6425
0.4000 , 315.3663
0.4200 , 315.8969
0.4400 , 316.3243
0.4600 , 316.6693
0.4800 , 316.9532
0.5000 , 317.1967
0.5200 , 317.4476
0.5400 , 317.6900
0.5600 , 317.9199
0.5800 , 318.1414
0.6000 , 318.3591
0.6200 , 318.5879
0.6400 , 318.8418
0.6600 , 319.1451
0.6800 , 319.5216
0.7000 , 319.9377
0.7200 , 320.3623
0.7400 , 320.8198
0.7600 , 321.2877
0.7800 , 321.7433
0.8000 , 322.1640
0.8200 , 322.6363
0.8363 , 321.6188
0.8584 , 322.0104
0.8805 , 322.0104
0.9035 , 322.7937
0.9274 , 324.3603
0.9522 , 325.1436
0.9770 , 327.1018
0.9947 , 330.6266
0.2832 , 312.6110
0.2611 , 312.2193
0.2416 , 310.2611
0.2212 , 309.8695
0.2018 , 307.9112
0.1858 , 307.1279
0.1646 , 304.7781
0.1460 , 300.8616
0.1327 , 298.9034
0.1115 , 294.5953
0.0982 , 291.4621
0.0894 , 289.1123
0.0805 , 286.3708
0.0735 , 284.0209
0.0673 , 280.8877
0.0593 , 277.7546
0.0522 , 274.2298
0.0460 , 269.5300
0.0425 , 266.0052
0.0389 , 262.8721
0.0327 , 258.9556
0.0292 , 254.2559
0.0257 , 251.5144
0.0221 , 247.5979
0.0186 , 242.1149
0.0159 , 237.8068
0.0142 , 234.6736
0.0106 , 229.9739
0.0097 , 227.2324
0.0071 , 222.5326
0.0062 , 217.0496
0.0053 , 211.1749
0.0035 , 207.2585
0.0009 , 201.3838
0.0009 , 196.2924
0.0000 , 190.8094
0.0000 , 186.8930
-0.0009 , 181.4099
-0.0027 , 175.9269
