AC5,
X,Y
0.9895 , 541.0641
0.9610 , 538.6085
0.9273 , 536.1528
0.8704 , 532.0600
0.8398 , 526.3302
0.7787 , 514.0518
0.7492 , 508.3220
0.6891 , 500.1364
0.6586 , 496.0437
0.6006 , 490.3138
0.5680 , 487.0396
0.5100 , 480.4911
0.4805 , 477.2169
0.4194 , 469.0314
0.3909 , 465.7572
0.3298 , 456.7531
0.2993 , 451.8417
0.2782 , 446.9304
0.2508 , 440.3820
0.2213 , 431.3779
0.2076 , 427.2851
0.1886 , 419.9181
0.1612 , 406.0027
0.1296 , 390.4502
0.1012 , 373.2606
0.0885 , 362.6194
0.0780 , 355.2524
0.0674 , 346.2483
0.0590 , 335.6071
0.0485 , 324.9659
0.0379 , 313.5061
0.0274 , 298.7722
0.0169 , 283.2196
0.0095 , 261.1187
