AC30,
X,Y
0.0200 , 272.0153
0.0400 , 305.2243
0.0600 , 327.5764
0.0800 , 347.7382
0.1000 , 365.1473
0.1200 , 381.5192
0.1400 , 396.8387
0.1600 , 409.7464
0.1800 , 422.3511
0.2000 , 433.7961
0.2200 , 442.9956
0.2400 , 452.6472
0.2600 , 461.5734
0.2800 , 468.6870
0.3000 , 474.7841
0.3200 , 480.7699
0.3400 , 486.8174
0.3600 , 491.7262
0.3800 , 495.7849
0.4000 , 500.2094
0.4200 , 504.4128
0.4400 , 507.5375
0.4600 , 510.9117
0.4800 , 514.1663
0.5000 , 517.3819
0.5200 , 520.7948
0.5400 , 524.0057
0.5600 , 527.4633
0.5800 , 530.9781
0.6000 , 534.0974
0.6200 , 537.5595
0.6400 , 541.4815
0.6600 , 545.0429
0.6800 , 548.9437
0.7000 , 553.3832
0.7200 , 557.9407
0.7400 , 562.7747
0.7600 , 567.9597
0.7800 , 572.9257
0.8000 , 578.8214
0.8200 , 583.6004
0.8400 , 586.6087
0.8600 , 590.7529
0.8800 , 594.6143
0.9000 , 596.9840
0.9905 , 617.1896
0.9600 , 606.5484
0.9294 , 600.8186
0.0095 , 251.2960
0.0053 , 238.1992
0.0032 , 229.1951
0.0274 , 290.5866
0.0495 , 315.9618
0.0674 , 337.2442
0.0885 , 356.0709
0.1275 , 387.9945
0.1897 , 427.2851
0.2097 , 437.1078
0.2487 , 456.7531
0.3319 , 484.5839
0.3888 , 497.6808
0.5111 , 519.7817
0.5690 , 528.7858
0.6902 , 551.7053
0.7503 , 565.6207
0.8714 , 590.1774
