AC15,
X,Y
0.9905 , 431.3779
0.9600 , 428.1037
0.9294 , 426.4666
0.8704 , 423.1924
0.8388 , 420.7367
0.7798 , 413.3697
0.7492 , 410.0955
0.6891 , 406.0027
0.6586 , 402.7285
0.5985 , 397.8172
0.5711 , 396.1801
0.5100 , 390.4502
0.4816 , 388.8131
0.4204 , 383.0832
0.3899 , 380.6276
0.3298 , 374.8977
0.3003 , 371.6235
0.2792 , 369.1678
0.2497 , 365.8936
0.2213 , 362.6194
0.2086 , 360.9823
0.1876 , 356.8895
0.1602 , 351.1596
0.1286 , 342.9741
0.1001 , 333.1514
0.0896 , 329.0587
0.0790 , 324.1473
0.0685 , 317.5989
0.0601 , 311.0505
0.0506 , 302.8649
0.0400 , 293.8608
0.0306 , 284.0382
0.0221 , 275.8527
