AC5,
X,Y
0.0200 , 287.9925
0.0400 , 319.2520
0.0600 , 341.1561
0.0800 , 359.9201
0.1000 , 374.3643
0.1200 , 387.4649
0.1400 , 397.4897
0.1600 , 404.2043
0.1800 , 413.5261
0.2000 , 423.0131
0.2200 , 430.5214
0.2400 , 437.4529
0.2600 , 443.3368
0.2800 , 447.7587
0.3000 , 451.4420
0.3200 , 454.9975
0.3400 , 459.1867
0.3600 , 462.7132
0.3800 , 464.9171
0.4000 , 467.6409
0.4200 , 470.1997
0.4400 , 472.2129
0.4600 , 474.4531
0.4800 , 476.5500
0.5000 , 478.8502
0.5200 , 481.2437
0.5400 , 483.4274
0.5600 , 485.6169
0.5800 , 487.7516
0.6000 , 489.6765
0.6200 , 491.6492
0.6400 , 493.8880
0.6600 , 496.0863
0.6800 , 498.5630
0.7000 , 501.1584
0.7200 , 503.8159
0.7400 , 506.9682
0.7600 , 510.4503
0.7800 , 513.9707
0.8000 , 518.0264
0.8200 , 522.7365
0.8400 , 526.9116
0.8600 , 529.9260
0.8800 , 532.3430
0.9000 , 534.5478
0.9200 , 536.1022
0.9400 , 537.3703
0.9600 , 538.9238
0.9905 , 540.2456
