CAC,
X,Y
0.0115 , 93.1025
0.0095 , 88.0223
0.0309 , 103.6444
0.0186 , 97.6430
0.0250 , 100.3524
0.0469 , 109.2628
0.0655 , 112.6916
0.0826 , 115.2541
0.0997 , 118.4131
0.1242 , 121.4205
0.1498 , 124.5454
0.1765 , 126.8162
0.2032 , 128.9602
0.2328 , 130.7341
0.2630 , 132.0873
0.2933 , 133.6436
0.3225 , 134.7425
0.3507 , 135.6106
0.3821 , 136.6477
0.4119 , 137.1705
0.4427 , 137.9897
0.4715 , 138.5106
0.5008 , 139.1857
0.5315 , 139.7268
0.5614 , 140.0161
0.5926 , 140.4426
0.6213 , 140.7172
0.6502 , 141.0952
0.6804 , 141.4278
0.7103 , 141.6007
0.7425 , 141.9458
0.7691 , 142.2378
0.7985 , 142.5718
0.8302 , 142.9204
0.8601 , 143.2503
0.8906 , 144.0431
0.9207 , 145.0471
0.9514 , 146.8367
0.9763 , 151.2387
0.9926 , 152.6053
