CS,
X,Y
0.0019 , 414.3923
0.0084 , 458.5545
0.0183 , 506.4203
0.0312 , 539.4622
0.0588 , 597.9264
0.1405 , 713.4693
0.2019 , 763.6903
0.2521 , 799.0598
0.2957 , 822.5008
0.3471 , 842.0351
0.3943 , 859.0756
0.4475 , 874.0002
0.5002 , 882.3504
0.5467 , 891.3556
0.6003 , 897.3128
0.6459 , 903.6227
0.7004 , 906.1794
0.7396 , 912.1367
0.0812 , 634.4916
0.1017 , 661.5187
0.0097 , 472.3295
0.0043 , 436.2934
0.0011 , 395.1094
0.0000 , 380.9524
0.0011 , 365.5084
0.7695 , 917.6319
0.7944 , 920.2059
0.8139 , 922.7799
0.8377 , 926.6409
0.8550 , 926.6409
0.8680 , 930.5019
0.8853 , 930.5019
0.9015 , 931.7889
0.9156 , 933.0759
0.9329 , 938.2239
0.9481 , 943.3719
0.9621 , 948.5199
0.9729 , 953.6680
0.9827 , 962.6770
0.9946 , 969.1120
