CNR115-ox-am,
X,Y
0.0000 , 16.0338
-0.0008 , 31.2236
-0.0008 , 46.4135
0.0016 , 61.6034
0.0098 , 70.8861
0.0213 , 75.9494
0.0336 , 80.1688
0.0459 , 82.7004
0.0590 , 85.2321
0.0803 , 87.7637
0.1007 , 90.2954
0.1204 , 91.9831
0.1400 , 94.5148
0.1589 , 96.2025
0.1810 , 97.8903
0.2031 , 100.4219
0.2211 , 102.1097
0.2408 , 102.1097
0.2596 , 103.7975
0.2809 , 104.6414
0.2998 , 105.4852
0.3186 , 106.3291
0.3358 , 107.1730
0.3800 , 111.3924
0.4005 , 111.3924
0.4193 , 113.0802
0.4390 , 113.0802
0.4611 , 114.7679
0.4799 , 114.7679
0.5004 , 115.6118
0.5389 , 115.6118
0.5594 , 115.6118
0.5799 , 117.2996
0.5987 , 118.1435
0.6192 , 118.9873
0.6396 , 120.6751
0.6593 , 120.6751
0.6806 , 120.6751
0.6994 , 122.3629
0.7199 , 123.2068
0.7387 , 124.0506
0.7592 , 124.0506
0.7789 , 124.8945
0.7985 , 126.5823
0.8190 , 127.4262
0.8378 , 128.2700
0.8591 , 129.1139
0.8788 , 130.8017
0.9091 , 130.8017
0.9296 , 130.8017
0.9558 , 131.6456
0.9754 , 131.6456
0.9959 , 132.4895
