CNR115-ox,
X,Y
0.0000 , 77.6371
0.0008 , 91.9831
0.0008 , 108.0169
0.0008 , 124.0506
0.0025 , 138.3966
0.0057 , 156.9620
0.0098 , 172.9958
0.0164 , 182.2785
0.0238 , 192.4051
0.0319 , 200.0000
0.0393 , 207.5949
0.0483 , 214.3460
0.0590 , 220.2532
0.0803 , 229.5359
0.0958 , 237.1308
0.1155 , 243.8819
0.1368 , 248.9451
0.1581 , 254.0084
0.1794 , 259.0717
0.2007 , 262.4473
0.2211 , 264.9789
0.2408 , 266.6667
0.2604 , 269.1983
0.2793 , 271.7300
0.2998 , 274.2616
0.3186 , 275.1055
0.3391 , 275.9494
0.3579 , 276.7932
0.3776 , 278.4810
0.3989 , 280.1688
0.4185 , 280.1688
0.4382 , 281.0127
0.4570 , 280.1688
0.4767 , 281.8565
0.4971 , 282.7004
0.5168 , 283.5443
0.5373 , 284.3882
0.5569 , 284.3882
0.5774 , 285.2321
0.5971 , 285.2321
0.6167 , 286.0759
0.6372 , 286.0759
0.6568 , 286.9198
0.6765 , 287.7637
0.6962 , 287.7637
0.7166 , 288.6076
0.7371 , 286.9198
0.7559 , 288.6076
0.7764 , 289.4515
0.7961 , 290.2954
0.8190 , 291.9831
0.8403 , 292.8270
0.8583 , 292.8270
0.8788 , 293.6709
0.8993 , 294.5148
0.9459 , 291.9831
0.9762 , 290.2954
