CNR115,
X,Y
-0.0008 , 0.8439
0.0000 , 92.8270
0.0000 , 111.3924
0.0000 , 121.5190
-0.0008 , 145.9916
-0.0016 , 172.1519
-0.0008 , 187.3418
-0.0000 , 198.3122
0.0008 , 209.2827
0.0049 , 276.7932
0.0106 , 308.0169
0.0197 , 340.9283
0.0385 , 380.5907
0.0639 , 415.1899
0.0778 , 430.3797
0.1204 , 468.3544
0.1409 , 481.8565
0.1605 , 495.3586
0.1818 , 506.3291
0.2015 , 516.4557
0.2236 , 524.8945
0.2416 , 530.8017
0.2629 , 538.3966
0.2809 , 544.3038
0.3014 , 549.3671
0.3210 , 553.5865
0.3399 , 557.8059
0.3595 , 562.8692
0.3800 , 566.2447
0.3989 , 569.6203
0.4201 , 572.1519
0.4390 , 573.8397
0.4595 , 577.2152
0.4799 , 579.7468
0.5004 , 583.1224
0.5389 , 588.1857
0.5594 , 589.0295
0.5790 , 590.7173
0.5995 , 592.4051
0.6200 , 594.9367
0.6396 , 595.7806
0.6593 , 597.4684
0.6790 , 598.3122
0.6994 , 600.0000
0.7191 , 601.6878
0.7387 , 602.5316
0.7584 , 605.0633
0.7789 , 606.7511
0.7993 , 606.7511
0.8190 , 608.4388
0.8387 , 610.9705
0.8591 , 610.1266
0.8796 , 610.9705
0.9001 , 610.9705
0.9189 , 611.8143
0.9402 , 611.8143
0.9681 , 612.6582
0.9812 , 614.3460
